target_url,page_type,primary_query,secondary_queries,search_intent,target_location,funnel_stage,current_status,cannibalization_risk,recommended_title,recommended_h1,notes
https://barbarossoft.com.tr/hakkimizda,Kurumsal,Barbarossoft hakkında,Barbarossoft kimdir|Kayseri dijital ajans hakkında,Marka güveni,Kayseri,Değerlendirme,Uygulandı,Düşük,Hakkımızda | Barbarossoft,Hakkımızda,Resmi unvan ve kuruluş tarihi manuel doğrulama bekliyor.
https://barbarossoft.com.tr/iletisim,İletişim,Barbarossoft iletişim,Barbarossoft telefon|Barbarossoft WhatsApp|Barbarossoft e-posta,Dönüşüm,Kayseri,Dönüşüm,Uygulandı,Düşük,İletişim | Barbarossoft,İletişim,Açık ofis adresi yayınlanmıyor.
https://barbarossoft.com.tr/blog,İçerik merkezi,Barbarossoft blog,web tasarım blog|seo rehberleri|google ads rehberi,Bilgilendirici,Türkiye,Farkındalık,Uygulandı,Düşük,Blog | Barbarossoft,Blog,Cluster içerik merkezi.
https://barbarossoft.com.tr/projeler/azr-evden-eve-nakliyat,Vaka çalışması,AZR Evden Eve Nakliyat projesi,Nakliyat web tasarım|Nakliyat dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri,Değerlendirme,Uygulandı,Düşük,AZR Evden Eve Nakliyat Projesi | Barbarossoft,AZR Evden Eve Nakliyat Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/projeler/dogtek-dogalgaz-kurumsal-web-sitesi,Vaka çalışması,Doğtek Doğalgaz ve Mühendislik projesi,Doğalgaz ve mühendislik web tasarım|Doğalgaz ve mühendislik dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri,Değerlendirme,Uygulandı,Düşük,Doğtek Doğalgaz ve Mühendislik Projesi | Barbarossoft,Doğtek Doğalgaz ve Mühendislik Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/projeler/omerogullari-nakliyat,Vaka çalışması,Ömeroğulları Nakliyat projesi,Nakliyat web tasarım|Nakliyat dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri,Değerlendirme,Uygulandı,Düşük,Ömeroğulları Nakliyat Projesi | Barbarossoft,Ömeroğulları Nakliyat Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/projeler/kayseri-hanedan-nakliyat,Vaka çalışması,Kayseri Hanedan Nakliyat projesi,Nakliyat web tasarım|Nakliyat dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri,Değerlendirme,Uygulandı,Düşük,Kayseri Hanedan Nakliyat Projesi | Barbarossoft,Kayseri Hanedan Nakliyat Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/projeler/kayseri-florya-palet,Vaka çalışması,Kayseri Florya Palet projesi,Palet alım satımı web tasarım|Palet alım satımı dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri,Değerlendirme,Uygulandı,Düşük,Kayseri Florya Palet Projesi | Barbarossoft,Kayseri Florya Palet Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/projeler/izodev-izolasyon,Vaka çalışması,İzoDev İzolasyon projesi,İzolasyon web tasarım|İzolasyon dijital altyapı|Barbarossoft referans,Marka ve vaka kanıtı,Kayseri ve çevresi,Değerlendirme,Uygulandı,Düşük,İzoDev İzolasyon Projesi | Barbarossoft,İzoDev İzolasyon Projesi,Performans metriği uydurulmadı; doğrulanabilir proje kapsamı anlatıldı.
https://barbarossoft.com.tr/nakliyat-firmalari-icin-web-tasarim,Sektör rehberi,nakliyat firmaları i̇çin web tasarım,Nakliyat web sitesi|Nakliyat dijital pazarlama|sektörel web tasarım,Ticari araştırma,Türkiye / Kayseri,Değerlendirme,Uygulandı,Düşük,Nakliyat Firmaları İçin Web Tasarım | Barbarossoft,Nakliyat Firmaları İçin Web Tasarım,Sektör niyeti proje örnekleriyle destekleniyor.
https://barbarossoft.com.tr/dogalgaz-firmalari-icin-web-tasarim,Sektör rehberi,doğalgaz firmaları i̇çin web tasarım,Doğalgaz ve mühendislik web sitesi|Doğalgaz ve mühendislik dijital pazarlama|sektörel web tasarım,Ticari araştırma,Türkiye / Kayseri,Değerlendirme,Uygulandı,Düşük,Doğalgaz Firmaları İçin Web Tasarım | Barbarossoft,Doğalgaz Firmaları İçin Web Tasarım,Sektör niyeti proje örnekleriyle destekleniyor.
https://barbarossoft.com.tr/izolasyon-firmalari-icin-dijital-pazarlama,Sektör rehberi,i̇zolasyon firmaları i̇çin dijital pazarlama,İzolasyon web sitesi|İzolasyon dijital pazarlama|sektörel web tasarım,Ticari araştırma,Türkiye / Kayseri,Değerlendirme,Uygulandı,Düşük,İzolasyon Firmaları İçin Dijital Pazarlama | Barbarossoft,İzolasyon Firmaları İçin Dijital Pazarlama,Sektör niyeti proje örnekleriyle destekleniyor.
https://barbarossoft.com.tr/sanayi-firmalari-icin-kurumsal-web-sitesi,Sektör rehberi,sanayi firmaları i̇çin kurumsal web sitesi,Sanayi ve üretim web sitesi|Sanayi ve üretim dijital pazarlama|sektörel web tasarım,Ticari araştırma,Türkiye / Kayseri,Değerlendirme,Uygulandı,Düşük,Sanayi Firmaları İçin Kurumsal Web Sitesi | Barbarossoft,Sanayi Firmaları İçin Kurumsal Web Sitesi,Sektör niyeti proje örnekleriyle destekleniyor.
https://barbarossoft.com.tr/blog/kayseride-web-sitesi-yaptirirken-nelere-dikkat-edilmeli,Blog,kayseri'de web sitesi yaptırırken nelere dikkat edilmeli,web tasarım rehberi|web tasarım kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Kayseri'de Web Sitesi Yaptırırken Nelere Dikkat Edilmeli? | Barbarossoft,Kayseri'de Web Sitesi Yaptırırken Nelere Dikkat Edilmeli?,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/blog/yerel-seo-nedir-ve-hangi-isletmeler-icin-gereklidir,Blog,yerel seo nedir ve hangi i̇şletmeler i̇çin gereklidir,seo rehberi|seo kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Yerel SEO Nedir ve Hangi İşletmeler İçin Gereklidir? | Barbarossoft,Yerel SEO Nedir ve Hangi İşletmeler İçin Gereklidir?,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/blog/google-haritalarda-isletme-siralamasi-nasil-guclendirilir,Blog,google haritalar'da i̇şletme sıralaması nasıl güçlendirilir,google haritalar rehberi|google haritalar kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Google Haritalar'da İşletme Sıralaması Nasıl Güçlendirilir? | Barbarossoft,Google Haritalar'da İşletme Sıralaması Nasıl Güçlendirilir?,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/blog/google-ads-reklamlari-neden-gorunmeyebilir,Blog,google ads reklamları neden görünmeyebilir,google ads rehberi|google ads kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Google Ads Reklamları Neden Görünmeyebilir? | Barbarossoft,Google Ads Reklamları Neden Görünmeyebilir?,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/blog/web-sitesinden-gelen-whatsapp-talepleri-nasil-olculur,Blog,web sitesinden gelen whatsapp talepleri nasıl ölçülür,dijital pazarlama rehberi|dijital pazarlama kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Web Sitesinden Gelen WhatsApp Talepleri Nasıl Ölçülür? | Barbarossoft,Web Sitesinden Gelen WhatsApp Talepleri Nasıl Ölçülür?,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/blog/kurumsal-web-sitesinde-mutlaka-bulunmasi-gereken-bolumler,Blog,kurumsal web sitesinde mutlaka bulunması gereken bölümler,web tasarım rehberi|web tasarım kontrol listesi|yerel işletme dijital pazarlama,Bilgilendirici,Türkiye / Kayseri,Farkındalık,Yayında,Düşük,Kurumsal Web Sitesinde Mutlaka Bulunması Gereken Bölümler | Barbarossoft,Kurumsal Web Sitesinde Mutlaka Bulunması Gereken Bölümler,Blog ticari hizmet sayfasını destekleyen açıyla konumlandı.
https://barbarossoft.com.tr/gizlilik-politikasi,Yasal,Barbarossoft gizlilik politikası,gizlilik|kvkk|çerez politikası|kullanım koşulları,Güven ve yasal bilgilendirme,Türkiye,Güven,Uygulandı,Düşük,Gizlilik Politikası | Barbarossoft,Gizlilik Politikası,Yasal sayfalar arama hacmi hedefiyle değil güven ve uyum amacıyla tutuldu.
https://barbarossoft.com.tr/kvkk-aydinlatma-metni,Yasal,Barbarossoft kvkk aydınlatma metni,gizlilik|kvkk|çerez politikası|kullanım koşulları,Güven ve yasal bilgilendirme,Türkiye,Güven,Uygulandı,Düşük,KVKK Aydınlatma Metni | Barbarossoft,KVKK Aydınlatma Metni,Yasal sayfalar arama hacmi hedefiyle değil güven ve uyum amacıyla tutuldu.
https://barbarossoft.com.tr/cerez-politikasi,Yasal,Barbarossoft çerez politikası,gizlilik|kvkk|çerez politikası|kullanım koşulları,Güven ve yasal bilgilendirme,Türkiye,Güven,Uygulandı,Düşük,Çerez Politikası | Barbarossoft,Çerez Politikası,Yasal sayfalar arama hacmi hedefiyle değil güven ve uyum amacıyla tutuldu.
https://barbarossoft.com.tr/kullanim-kosullari,Yasal,Barbarossoft kullanım koşulları,gizlilik|kvkk|çerez politikası|kullanım koşulları,Güven ve yasal bilgilendirme,Türkiye,Güven,Uygulandı,Düşük,Kullanım Koşulları | Barbarossoft,Kullanım Koşulları,Yasal sayfalar arama hacmi hedefiyle değil güven ve uyum amacıyla tutuldu.
